RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,heure_extraction,Mise_a_jour,collecte_utc
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,HÔPITAL ET CHSLD DU PONTIAC,51219459,4,0,0,0,14,9,18.99,5.74,18:59,5:44,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,51228799,4,1,0,0,17,13,6.47,4.23,6:28,4:13,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
03,Capitale-Nationale,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,9,6,0,0,12,7,6.31,3.55,6:18,3:33,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS,51247799,6,6,0,0,20,12,12.67,4.61,12:40,4:36,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
09,Côte-Nord,SANTÉ QUÉBEC CÔTE-NORD,HÔPITAL ET CLSC DE SEPT-ÎLES,51232023,10,20,8,5,40,25,28.44,7.02,28:26,7:01,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,HÔPITAL ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE MARIA,51227908,10,10,0,0,26,14,11.72,5.85,11:43,5:51,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC NORD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL FLEURY,51228492,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,,,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL GÉNÉRAL DE MONTRÉAL,51248219,31,38,9,5,66,15,20.4,5.34,20:24,5:20,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL GÉNÉRAL DU LAKESHORE,51228278,31,58,26,10,89,37,36.16,7.57,36:09,7:34,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL GÉNÉRAL JUIF,51248250,53,110,32,12,156,41,14.72,4.92,14:43,4:55,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-EST,HÔPITAL HONORÉ-MERCIER,51229193,26,21,5,1,54,31,13.33,4.52,13:19,4:31,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC NORD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL JEAN-TALON,51228500,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,,,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC EST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL MAISONNEUVE-ROSEMONT,12934659,54,65,31,8,113,46,25.43,4.01,25:25,4:00,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,HÔPITAL NOTRE-DAME,51236313,35,31,7,7,49,12,22.31,6.12,22:18,6:07,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,1,0,0,4,2,6.39,3.27,6:23,3:16,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-EST,HÔPITAL PIERRE-BOUCHER,51229011,47,58,20,8,100,45,24.29,6.76,24:17,6:45,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
14,Lanaudière,SANTÉ QUÉBEC LANAUDIÈRE,HÔPITAL PIERRE-LE GARDEUR,51228062,47,54,17,0,131,52,21.53,5.34,21:31,5:20,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL ROYAL VICTORIA,51223295,33,74,41,24,123,33,35.72,7.08,35:43,7:04,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,13,2,0,33,15,15.79,5.17,15:47,5:10,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
